admin0name_en,admin0name_ar,admin0pcode,admin1name_en,admin1name_ar,admin1pcode,admin2name_en,admin2name_ar,admin2pcode,admin3name_en,admin3name_ar,admin3pcode,admin4name_en,admin4name_ar,column1,admin4pcode,location_name_en,location_name_ar,location_pcode,location_type,last_update_date,latitude_y,longitude_x,zone,aoc_rosc
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Al Nouriyah,النورية,Al Nouriyah,C7313,Al Nouriyah,النورية,C7313,Community,19/12/2018,36.05717,40.530002,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Areesheh,العريشة,SY080005,Abu Shuka,ابو شوكة,Abu Shuka,C7314,Abu Shuka,ابو شوكة,C7314,Community,19/12/2018,36.060915,40.387741,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Umm Hajar,ام حجر,Umm Hajar (Shadadah),C7315,Umm Hajar (Shadadah),ام حجر - شدادة,C7315,Community,19/12/2018,36.060944,40.638112,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Al Masshur,المسحور,Al Masshur,C7316,Al Masshur,المسحور,C7316,Community,19/12/2018,36.061128,41.061315,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Kumaysiyah,كميسية,Kumaysiyah,C7317,Kumaysiyah,كميسية,C7317,Community,19/12/2018,36.063938,41.104818,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Ba'jah Sharqiyah,بعاجة شرقية,Ba'jah Sharqiyah,C7318,Ba'jah Sharqiyah,بعاجة شرقية,C7318,Community,19/12/2018,36.068029,40.608261,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Abu Sakhrah Shamali,ابو صخرة شمالي,Abu Sakhrah Shamali,C7319,Abu Sakhrah Shamali,ابو صخرة شمالي,C7319,Community,19/12/2018,36.069338,41.134483,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Areesheh,العريشة,SY080005,Hanan Bab Al Khawr,حنان باب الخور,Hanan Bab Al Khawr,C7320,Hanan Bab Al Khawr,حنان باب الخور,C7320,Community,19/12/2018,36.069749,40.367487,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Qaddarah,قدارة,Qaddarah,C7321,Qaddarah,قدارة,C7321,Community,19/12/2018,36.070257,37.132433,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Humaydiah,حميدية الشدادة,Humaydiah,C7322,Humaydiah,حميدية الشدادة الشرقية - شدادة,C7322,Community,19/12/2018,36.075826,41.079152,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,مركز جبل سمعان,SY020000,Khanat Assan,خانة عسان,Khanat Assan,C7323,Khanat Assan,خانة عسان,C7323,Community,19/12/2018,36.084777,37.195259,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Areesheh,العريشة,SY080005,Khirbet el B'ir,خربة البير,Khirbet el B'ir,C7324,Khirbet el B'ir,خربة البير,C7324,Community,19/12/2018,36.088491,40.283366,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Al Hulw,الحلو,Al Hulw,C7325,Al Hulw,الحلو,C7325,Community,19/12/2018,36.088598,41.091257,0,Syrian democratic forces
